unidad_experimental	fenologia	estado_de_salud	altura	DAP	cantidad_fustes
89	con_frutos	enfermo	4.23879	53.42770	1
90	con_frutos	enfermo	4.81338	28.57744	1
91	con_frutos	terminal	4.52142	45.56027	2
92	sin_frutos	enfermo	4.63628	57.68128	2
93	con_frutos	sano	3.87653	35.33958	2
94	con_frutos	sano	3.45600	26.90479	3
95	con_frutos	sano	3.86189	55.25850	1
96	con_frutos	enfermo	4.83548	22.81496	1
97	con_frutos	enfermo	4.21460	27.09788	1
98	con_frutos	sano	5.97754	41.80621	1
99	con_frutos	sano	4.70416	48.74646	1
100	con_frutos	sano	8.62641	71.07595	2
101	sin_frutos	enfermo	4.57992	52.67616	2
102	sin_frutos	sano	6.81273	53.35945	2
103	con_frutos	enfermo	3.37586	38.65310	1
104	con_frutos	enfermo	5.03758	55.21271	2
105	con_frutos	sano	4.87606	31.03393	1
106	sin_frutos	sano	4.08808	42.94342	2
107	sin_frutos	enfermo	3.34564	35.97545	2
108	con_frutos	sano	7.68819	55.35716	1
109	con_frutos	sano	4.21259	43.90116	1
110	con_frutos	sano	3.51799	30.50556	1
111	sin_frutos	enfermo	8.32121	63.74619	2
112	sin_frutos	sano	3.13017	36.11549	2
113	con_frutos	sano	4.50098	36.02241	1
114	sin_frutos	enfermo	3.51739	30.16851	1
115	con_frutos	terminal	4.84241	23.17190	2
116	con_frutos	sano	3.68983	37.99587	1
117	con_frutos	sano	4.09724	26.31495	2
118	con_frutos	enfermo	6.13470	41.76393	1
119	con_frutos	terminal	4.21139	31.16564	2
120	sin_frutos	sano	3.45177	33.10559	1
121	sin_frutos	enfermo	4.59427	19.98400	1
122	con_frutos	terminal	4.96698	27.38487	2
123	con_frutos	enfermo	8.44342	58.36565	2
124	con_frutos	enfermo	4.39671	38.74795	1
125	con_frutos	sano	4.06280	43.98224	1
126	con_frutos	enfermo	4.50031	48.72719	2
127	con_frutos	sano	5.70328	44.09704	2
128	con_frutos	enfermo	3.58847	40.16408	2
129	con_frutos	sano	3.68597	35.61077	1
130	sin_frutos	enfermo	5.55683	40.11557	3
131	sin_frutos	sano	3.22207	30.54555	1
132	sin_frutos	sano	3.32295	36.41520	3
133	sin_frutos	sano	4.51452	49.30125	1
134	con_frutos	sano	8.22781	61.27722	1
135	con_frutos	sano	4.40286	48.54931	1
136	con_frutos	enfermo	3.76455	11.45655	2
137	con_frutos	terminal	3.95803	28.24540	2
138	con_frutos	sano	3.67781	33.56948	1
139	con_frutos	sano	4.44997	42.57986	2
140	con_frutos	enfermo	7.03179	47.31111	1
141	con_frutos	sano	4.74781	36.88160	1
142	sin_frutos	enfermo	3.60889	43.00882	3
143	con_frutos	enfermo	3.82789	30.00222	1
144	con_frutos	sano	3.97432	45.57936	4
145	con_frutos	sano	3.42558	20.64115	1
146	sin_frutos	enfermo	3.45170	28.31020	1
147	con_frutos	enfermo	5.57935	44.16265	1
148	con_frutos	sano	3.53698	37.94657	1
149	con_frutos	terminal	6.32005	53.03288	1
150	con_frutos	enfermo	3.90065	13.50910	3
151	con_frutos	sano	4.33365	35.58426	2
152	sin_frutos	terminal	5.07875	17.50051	2
153	sin_frutos	enfermo	6.52832	14.98855	2
154	con_frutos	enfermo	3.52885	34.91861	2
155	con_frutos	sano	4.66874	11.53658	1
156	sin_frutos	enfermo	5.12799	36.04681	2
157	sin_frutos	sano	4.08530	36.03154	2
158	con_frutos	enfermo	4.63640	39.03169	2
159	sin_frutos	enfermo	4.63520	21.16717	1
160	sin_frutos	sano	3.61605	28.86552	1
161	con_frutos	terminal	3.73804	6.90908	3
162	con_frutos	sano	6.83567	50.48113	1
163	sin_frutos	enfermo	3.86948	20.84588	3
164	con_frutos	enfermo	3.69953	32.12414	1
165	sin_frutos	sano	5.66428	58.84380	1
166	con_frutos	sano	5.15066	51.84853	1
167	con_frutos	sano	5.49579	36.35770	1
168	sin_frutos	enfermo	4.60226	31.68335	2
169	con_frutos	sano	3.63003	23.02518	1
170	con_frutos	sano	3.52705	32.80245	1
171	sin_frutos	enfermo	3.05550	15.66059	1
172	con_frutos	sano	4.30352	37.26938	1
173	sin_frutos	sano	3.90788	42.72195	2
174	con_frutos	sano	7.15649	58.30645	2
175	con_frutos	enfermo	3.96731	42.13282	1
176	con_frutos	sano	5.11537	34.12234	2
177	con_frutos	sano	5.03497	17.13844	1
178	sin_frutos	enfermo	4.77437	32.15448	1
179	sin_frutos	enfermo	3.36251	35.28960	1
180	con_frutos	enfermo	4.17265	27.27749	5
181	con_frutos	sano	6.34372	56.62214	1
182	con_frutos	sano	6.23310	63.72571	1
183	sin_frutos	enfermo	4.93319	48.81124	2
184	con_frutos	enfermo	4.25522	29.36186	1
185	con_frutos	terminal	5.95652	35.24768	3
186	sin_frutos	enfermo	3.59731	29.79174	1
187	con_frutos	enfermo	3.34961	15.88920	1
188	con_frutos	enfermo	4.14400	42.56943	1
189	sin_frutos	sano	5.85481	33.61783	1
190	sin_frutos	sano	4.28960	27.41898	2
191	con_frutos	enfermo	3.78444	50.01197	1
192	con_frutos	sano	6.07668	38.48800	1
193	con_frutos	sano	5.14717	24.47617	2
194	con_frutos	sano	3.57333	46.22661	2
195	sin_frutos	sano	3.23140	27.80741	1
196	sin_frutos	sano	3.15174	31.94533	2
197	sin_frutos	enfermo	4.93755	33.50007	1
198	sin_frutos	enfermo	4.81350	22.35861	2
199	con_frutos	sano	7.59927	45.91180	1
200	sin_frutos	terminal	5.21088	29.04006	1
201	con_frutos	enfermo	3.46927	37.84756	3
202	con_frutos	enfermo	7.02596	55.03493	4
203	con_frutos	enfermo	6.63700	37.40547	1
204	con_frutos	sano	5.17704	33.34684	1
205	con_frutos	sano	4.23872	24.81816	1
206	con_frutos	sano	5.37704	30.81003	2
207	sin_frutos	sano	8.98901	62.54792	2
208	sin_frutos	sano	4.74730	38.41636	1
209	con_frutos	enfermo	4.32314	19.73350	1
210	con_frutos	enfermo	4.82605	36.31114	2
211	sin_frutos	enfermo	5.04346	45.25841	2
212	con_frutos	sano	5.14618	40.08197	1
213	sin_frutos	enfermo	3.01001	33.22351	2
214	con_frutos	sano	3.51694	25.20644	2
215	con_frutos	enfermo	3.70246	42.22548	2
216	con_frutos	sano	4.38714	46.73796	1
217	sin_frutos	enfermo	3.89886	20.66142	1
218	con_frutos	sano	6.66925	59.27914	1
219	sin_frutos	enfermo	4.04317	23.93643	1
220	con_frutos	enfermo	5.96156	50.76842	1
221	con_frutos	sano	3.69909	26.11981	1
222	con_frutos	sano	4.85841	50.29192	1
223	con_frutos	sano	3.64980	50.64614	1
224	con_frutos	sano	6.79287	50.28178	1
225	sin_frutos	terminal	3.86584	38.61751	1
226	con_frutos	sano	3.73822	36.21432	1
227	con_frutos	enfermo	4.02574	37.35845	1
228	sin_frutos	sano	3.46972	42.73473	1
229	con_frutos	enfermo	4.35746	26.78100	3
230	con_frutos	enfermo	5.18270	36.59891	2
231	con_frutos	terminal	3.88358	24.24542	2
232	con_frutos	enfermo	3.47710	35.94909	1
233	sin_frutos	sano	3.40575	32.00194	1
234	sin_frutos	sano	5.32320	43.22564	1
235	sin_frutos	sano	5.05604	49.14141	2
236	sin_frutos	enfermo	3.65264	31.67499	2
237	sin_frutos	enfermo	3.63586	45.05296	1
238	con_frutos	sano	4.11370	29.24201	1
239	con_frutos	sano	3.64219	43.81421	1
240	sin_frutos	sano	4.29854	33.78989	2
241	con_frutos	sano	4.90458	13.03812	2
242	sin_frutos	sano	3.03527	26.47601	1
243	con_frutos	enfermo	3.92878	30.92461	3
244	con_frutos	sano	4.53372	26.06555	1
245	con_frutos	sano	4.74909	35.12776	3
246	con_frutos	enfermo	5.19036	42.22236	1
247	con_frutos	sano	6.53265	17.39715	2
248	con_frutos	sano	4.37971	33.55566	1
249	con_frutos	sano	3.49395	27.50030	1
250	sin_frutos	sano	3.55050	32.98625	1
251	sin_frutos	sano	4.05444	16.12918	3
252	sin_frutos	sano	5.89228	24.27380	1
253	con_frutos	sano	6.26317	47.83142	2
254	sin_frutos	enfermo	3.29892	33.89758	2
255	con_frutos	sano	7.08240	31.64281	1
256	con_frutos	enfermo	3.38421	37.57870	2
257	con_frutos	terminal	4.35624	33.98513	2
258	con_frutos	enfermo	3.64746	20.56663	1
259	con_frutos	sano	3.55921	35.90053	1
260	sin_frutos	sano	3.27305	15.20827	1
261	con_frutos	sano	4.04882	31.21943	2
262	sin_frutos	sano	5.54912	42.80822	1
263	con_frutos	sano	3.54468	45.06400	2
264	con_frutos	sano	3.45252	43.21159	2
265	sin_frutos	sano	4.77419	34.52542	1
266	con_frutos	sano	3.61107	23.33824	1
267	con_frutos	sano	6.86347	67.00929	2
268	con_frutos	enfermo	3.78073	30.32628	1
269	con_frutos	sano	7.43744	58.43350	3
270	sin_frutos	terminal	4.87298	48.89251	1
271	sin_frutos	enfermo	4.60319	37.39890	2
272	con_frutos	enfermo	5.71741	31.81295	1
273	sin_frutos	sano	5.59187	41.11895	1
274	con_frutos	terminal	6.49816	44.66839	2
275	con_frutos	enfermo	5.86775	24.93486	1
276	con_frutos	sano	5.10075	34.33380	1
277	con_frutos	enfermo	6.33928	51.69916	1
278	con_frutos	terminal	7.91836	47.36222	1
279	con_frutos	sano	3.80456	39.16738	1
280	con_frutos	terminal	4.46767	39.46424	2
281	con_frutos	sano	3.84621	48.52367	1
282	sin_frutos	sano	5.63499	51.32578	1
283	sin_frutos	enfermo	4.75152	13.05713	1
284	con_frutos	enfermo	4.73310	41.39612	1
285	con_frutos	sano	3.78519	29.93125	2
286	sin_frutos	enfermo	3.59116	25.35302	1
287	sin_frutos	sano	6.09469	47.30815	1
288	sin_frutos	enfermo	6.27659	42.90893	1
289	con_frutos	sano	3.89891	23.28584	2
290	con_frutos	sano	4.55789	31.44830	1
291	sin_frutos	enfermo	3.90153	31.16004	1
292	con_frutos	sano	3.29812	23.31324	1
293	con_frutos	terminal	3.43460	32.22237	2
294	con_frutos	enfermo	5.71409	30.06944	2
295	con_frutos	sano	3.58799	5.81467	2
296	sin_frutos	sano	5.40286	45.19779	1
297	con_frutos	sano	5.64098	37.90075	2
298	con_frutos	sano	5.56442	52.46190	1
299	sin_frutos	sano	3.36768	34.40610	1
300	sin_frutos	sano	4.79195	35.33244	1
301	sin_frutos	terminal	4.14914	35.72565	1
302	con_frutos	enfermo	5.39202	30.33739	1
303	con_frutos	enfermo	4.34839	26.39783	1
304	sin_frutos	sano	7.09297	72.30101	1
305	sin_frutos	enfermo	3.76456	41.15705	1
306	con_frutos	sano	5.21195	35.97279	4
307	con_frutos	terminal	5.87504	39.32824	1
308	con_frutos	sano	5.65996	26.96418	1
309	con_frutos	enfermo	6.62281	43.07667	1
310	sin_frutos	enfermo	3.38752	36.48229	1
311	sin_frutos	enfermo	3.86558	39.42281	1
312	con_frutos	sano	5.56472	42.43167	3
313	con_frutos	enfermo	7.00387	43.35699	5
314	sin_frutos	sano	3.64712	30.62315	1
315	con_frutos	enfermo	5.37656	59.35330	2
316	con_frutos	sano	8.13292	59.41883	1
317	con_frutos	enfermo	5.94915	42.79110	1
318	con_frutos	sano	3.35850	39.74867	1
319	con_frutos	sano	3.66052	17.80458	1
320	sin_frutos	sano	3.48764	10.05519	2
321	con_frutos	sano	4.13964	26.74120	2
322	con_frutos	sano	4.81582	44.80446	1
323	con_frutos	sano	5.60566	46.37618	2
324	sin_frutos	enfermo	3.36613	23.04499	1
325	con_frutos	sano	4.92600	40.40673	3
326	con_frutos	enfermo	4.02852	32.10387	1
327	sin_frutos	sano	3.06914	20.21841	1
328	con_frutos	sano	3.45481	30.34035	1
329	sin_frutos	sano	5.14311	31.43758	2
330	con_frutos	enfermo	7.60566	66.29426	2
331	sin_frutos	sano	5.56318	45.81063	3
332	sin_frutos	enfermo	3.18978	28.65606	1
333	sin_frutos	terminal	3.27187	51.85472	2
334	con_frutos	terminal	3.40940	43.20297	1
335	sin_frutos	sano	3.42303	22.68166	1
336	sin_frutos	sano	4.05288	39.64399	1
337	sin_frutos	sano	5.29983	33.44403	1
338	con_frutos	enfermo	3.61954	21.86671	2
339	con_frutos	enfermo	3.69163	41.01748	1
340	con_frutos	sano	3.96046	56.40667	1
341	sin_frutos	enfermo	4.40614	29.63577	1
342	sin_frutos	sano	3.01331	20.33388	1
343	sin_frutos	enfermo	7.45533	43.31416	2
344	con_frutos	sano	3.54624	30.77916	1
345	con_frutos	enfermo	3.74969	54.52940	2
346	sin_frutos	sano	3.62944	21.98545	2
347	con_frutos	sano	4.40712	39.63739	2
348	con_frutos	enfermo	5.90373	37.64027	2
349	sin_frutos	sano	3.40227	14.97026	2
350	con_frutos	sano	3.60537	21.37644	2
351	con_frutos	sano	3.92829	27.08307	2
352	con_frutos	enfermo	3.97677	43.39158	1
353	con_frutos	sano	4.89104	38.83512	2
354	con_frutos	sano	3.60206	35.96296	1
355	con_frutos	sano	4.51495	29.78703	2
356	sin_frutos	enfermo	3.02956	15.57169	1
357	con_frutos	enfermo	4.07841	37.95477	1
358	sin_frutos	sano	3.48995	24.15858	2
359	con_frutos	sano	3.77128	34.81572	2
360	con_frutos	sano	3.36745	34.88213	1
361	sin_frutos	enfermo	3.14808	30.24977	2
362	sin_frutos	enfermo	4.52384	30.45608	2
363	sin_frutos	terminal	5.82983	47.49879	2
364	sin_frutos	sano	3.44409	23.67889	1
365	con_frutos	enfermo	4.42115	41.76816	3
366	sin_frutos	sano	3.32682	38.80229	2
367	sin_frutos	terminal	4.44439	31.37260	2
368	sin_frutos	terminal	4.37446	36.76353	1
369	con_frutos	sano	3.95724	27.82619	2
370	con_frutos	terminal	3.32975	16.51865	1
371	sin_frutos	sano	4.86810	55.33951	2
372	con_frutos	enfermo	3.45039	3.87675	2
373	sin_frutos	sano	3.23222	30.54059	3
374	sin_frutos	terminal	4.62095	34.43422	2
375	con_frutos	sano	4.66665	51.36618	1
376	con_frutos	enfermo	3.70478	26.64603	1
377	con_frutos	enfermo	4.10941	40.50796	3
378	con_frutos	enfermo	4.89915	24.85201	2
379	con_frutos	sano	4.02903	29.79208	2
380	con_frutos	enfermo	4.08747	21.54862	1
381	sin_frutos	sano	5.89375	38.65087	2
382	sin_frutos	enfermo	7.44562	45.90510	1
383	con_frutos	enfermo	5.02323	29.76080	1
384	con_frutos	sano	4.10048	53.94991	2
385	con_frutos	terminal	5.18349	58.70140	1
386	sin_frutos	enfermo	3.37326	18.69075	2
387	sin_frutos	sano	3.03957	27.15385	1
388	sin_frutos	sano	3.07726	41.61760	2
389	con_frutos	enfermo	4.84142	46.08052	2
390	con_frutos	sano	6.45653	47.69401	2
391	con_frutos	sano	6.11606	44.50219	1
392	sin_frutos	sano	3.19752	44.75273	2
393	con_frutos	enfermo	10.16298	66.53995	1
394	con_frutos	terminal	4.08258	40.94440	2
395	con_frutos	enfermo	3.63710	34.91608	3
396	con_frutos	enfermo	5.75042	53.18601	1
397	sin_frutos	enfermo	4.20108	50.35010	3
398	con_frutos	enfermo	4.04933	48.95487	1
399	con_frutos	sano	3.97096	29.08503	1
400	con_frutos	enfermo	3.63870	23.65686	1
401	con_frutos	sano	3.27258	17.44222	1
402	sin_frutos	sano	3.74321	13.66463	1
403	sin_frutos	enfermo	3.04156	42.26262	2
404	con_frutos	terminal	3.90920	22.44316	1
405	con_frutos	sano	3.78706	36.32800	2
406	sin_frutos	terminal	3.69054	26.15076	2
407	sin_frutos	sano	3.05981	40.15881	2
408	con_frutos	enfermo	3.46508	18.94771	1
409	sin_frutos	sano	4.27678	29.13035	2
410	con_frutos	enfermo	4.03945	38.58857	1
411	con_frutos	enfermo	6.82480	38.68189	2
412	sin_frutos	sano	5.96901	37.99280	3
413	sin_frutos	sano	3.81099	18.77519	2
414	con_frutos	enfermo	4.50155	35.83200	1
415	con_frutos	enfermo	8.98498	69.30798	1
416	sin_frutos	sano	5.00809	46.19633	2
417	con_frutos	enfermo	4.39663	21.17888	1
418	con_frutos	sano	4.58247	26.42168	2
419	con_frutos	sano	5.15076	38.22130	1
420	con_frutos	enfermo	3.38034	40.68032	1
421	sin_frutos	enfermo	4.24297	34.93786	1
422	con_frutos	enfermo	4.07711	26.19890	2
423	con_frutos	enfermo	6.73374	56.06266	1
424	con_frutos	sano	6.23740	41.76841	1
425	con_frutos	sano	5.19141	41.03817	2
426	sin_frutos	enfermo	5.30436	31.65509	2
427	con_frutos	sano	7.25570	39.70220	1
428	con_frutos	sano	5.91120	54.82119	2
429	sin_frutos	enfermo	5.06962	23.43540	1
430	con_frutos	sano	7.24576	37.97008	1
431	sin_frutos	sano	6.64011	54.90311	1
432	sin_frutos	sano	3.51739	25.18291	1
433	sin_frutos	sano	5.11581	31.23861	2
434	sin_frutos	sano	3.90095	34.20648	1
435	sin_frutos	sano	3.01220	26.69679	2
436	con_frutos	sano	3.61647	32.76940	1
437	con_frutos	enfermo	5.85710	53.95850	1
438	sin_frutos	sano	3.47888	21.14774	1
439	con_frutos	sano	4.83927	33.07808	1
440	sin_frutos	sano	5.17079	28.88297	1
441	con_frutos	sano	4.11969	30.73980	1
442	sin_frutos	sano	5.80516	35.41197	2
443	sin_frutos	sano	3.55937	7.92981	1
444	sin_frutos	terminal	5.92746	45.40546	1
445	con_frutos	sano	5.19313	33.20151	1
446	con_frutos	sano	4.09975	27.96512	1
447	sin_frutos	terminal	5.62411	29.51499	1
448	sin_frutos	enfermo	3.07889	21.19100	2
449	con_frutos	sano	4.60115	40.65544	2
450	sin_frutos	sano	4.40489	36.10802	1
451	con_frutos	sano	4.64713	36.72748	1
452	sin_frutos	sano	4.31510	40.08589	1
453	sin_frutos	enfermo	3.11729	31.58895	1
454	con_frutos	sano	5.24896	40.42398	2
455	sin_frutos	enfermo	3.46087	44.19233	2
456	con_frutos	enfermo	3.36304	23.92700	1
457	con_frutos	sano	4.69125	29.88836	1
458	con_frutos	sano	4.43535	44.68131	1
459	sin_frutos	enfermo	3.85921	26.98171	2
460	sin_frutos	sano	4.74606	23.15787	1
461	sin_frutos	terminal	3.05032	19.71615	1
462	sin_frutos	sano	6.05394	52.56335	1
463	sin_frutos	sano	4.46271	31.94522	2
464	sin_frutos	sano	3.00105	29.56506	2
465	sin_frutos	sano	3.29669	47.86791	1
466	con_frutos	terminal	4.34757	33.88101	1
467	sin_frutos	sano	5.56921	32.92382	2
468	con_frutos	sano	4.49769	25.33655	1
469	con_frutos	sano	3.31729	41.22881	1
470	sin_frutos	terminal	5.42072	27.14388	2
471	con_frutos	sano	7.01950	38.18039	1
472	con_frutos	sano	3.95278	26.13080	1
473	sin_frutos	sano	7.48122	47.69729	1
474	sin_frutos	terminal	4.09462	29.23703	1
475	con_frutos	terminal	4.02850	39.87609	1
476	con_frutos	sano	4.06243	45.40036	1
477	sin_frutos	sano	3.21626	15.80460	2
478	con_frutos	sano	4.64217	46.34423	1
479	con_frutos	enfermo	4.35740	56.20285	1
480	sin_frutos	sano	6.65932	45.16988	2
481	con_frutos	sano	4.33351	32.32547	2
482	con_frutos	sano	3.43003	20.89705	3
483	sin_frutos	sano	3.84749	25.07788	1
484	con_frutos	terminal	5.15995	28.44233	1
485	con_frutos	terminal	4.15777	27.48966	2
486	sin_frutos	enfermo	3.56224	8.93925	1
487	con_frutos	terminal	5.94575	58.15623	2
488	con_frutos	sano	6.10036	53.28395	3
489	con_frutos	sano	5.03894	24.31325	4
490	sin_frutos	enfermo	5.14227	38.53550	2
491	sin_frutos	enfermo	3.78384	18.28108	1
492	con_frutos	sano	3.67832	28.65716	2
493	con_frutos	sano	4.17982	26.40809	2
494	sin_frutos	sano	5.08272	49.58799	2
495	sin_frutos	enfermo	8.52673	40.32112	2
496	con_frutos	enfermo	5.27626	49.17852	2
497	con_frutos	enfermo	6.96297	45.15041	2
498	con_frutos	sano	4.35255	39.69562	1
499	sin_frutos	enfermo	3.60903	45.51806	2
500	sin_frutos	enfermo	4.68905	27.38257	1
